Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
256,256,"192.168.2.4",262936731632701,6847341966355
256,256,"192.168.2.10",437837022013878,6847342082362
257,257,"192.168.2.4",262936731840479,6847342202303
257,257,"192.168.2.10",437837022222193,6847342322974
258,258,"192.168.2.4",262936732052146,6847342443030
258,258,"192.168.2.10",437837022430212,6847342563158
259,259,"192.168.2.4",262936732257627,6847342684105
259,259,"192.168.2.10",437837022639934,6847342804178
260,260,"192.168.2.4",262936732465627,6847342926646
260,260,"192.168.2.10",437837022847045,6847343045032
261,261,"192.168.2.4",262936732673923,6847343164524
261,261,"192.168.2.10",437837023055453,6847343285527
262,262,"192.168.2.4",262936732882423,6847343405448
262,262,"192.168.2.10",437837023263675,6847343526215
263,263,"192.168.2.4",262936733090683,6847343646151
263,263,"192.168.2.10",437837023471601,6847343766409
264,264,"192.168.2.4",262936733299035,6847343886903
264,264,"192.168.2.10",437837023681064,6847344024001
265,265,"192.168.2.4",262936733508460,6847344129151
265,265,"192.168.2.10",437837023889082,6847344247999
266,266,"192.168.2.4",262936733715386,6847344367939
266,266,"192.168.2.10",437837024101008,6847344488998
267,267,"192.168.2.4",262936733923368,6847344608877
267,267,"192.168.2.10",437837024308341,6847344729474
268,268,"192.168.2.4",262936734132405,6847344849781
268,268,"192.168.2.10",437837024516193,6847344971813
269,269,"192.168.2.4",262936734340701,6847345090874
269,269,"192.168.2.10",437837024725156,6847345210559
270,270,"192.168.2.4",262936734549942,6847345331365
270,270,"192.168.2.10",437837024932693,6847345451355
271,271,"192.168.2.4",262936734757035,6847345571401
271,271,"192.168.2.10",437837025141027,6847345692011
272,272,"192.168.2.4",262936734964960,6847345812104
272,272,"192.168.2.10",437837025349156,6847345933314
273,273,"192.168.2.4",262936735173498,6847346052972
273,273,"192.168.2.10",437837025557434,6847346172781
274,274,"192.168.2.4",262936735382035,6847346293451
274,274,"192.168.2.10",437837025766341,6847346413723
275,275,"192.168.2.4",262936735590868,6847346534444
275,275,"192.168.2.10",437837025974119,6847346654532
276,276,"192.168.2.4",262936735798479,6847346774382
276,276,"192.168.2.10",437837026182730,6847346895331
277,277,"192.168.2.10",437837026390878,6847347016451
277,277,"192.168.2.4",262936736023275,6847347139428
