Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
124,41,"192.168.1.4",266870432952079,10781004771315
124,41,"192.168.1.10",441770702013719,10781004773744
125,41,"192.168.1.4",266870432966264,10781004775920
125,41,"192.168.1.10",441770702027682,10781004778462
41,41,"192.168.2.10",441770702041404,10781004822256
126,42,"192.168.1.10",441770702199978,10781004925312
126,42,"192.168.1.4",266870433138782,10781004927892
127,42,"192.168.1.10",441770702221089,10781004979246
127,42,"192.168.1.4",266870433160320,10781004981814
128,42,"192.168.1.4",266870433174042,10781004983987
128,42,"192.168.1.10",441770702234830,10781004986228
42,42,"192.168.2.10",441770702249034,10781005029694
129,43,"192.168.1.4",266870433346912,10781005132824
129,43,"192.168.1.10",441770702408404,10781005135576
130,43,"192.168.1.4",266870433368171,10781005188313
130,43,"192.168.1.10",441770702429775,10781005190699
131,43,"192.168.1.4",266870433381949,10781005192887
131,43,"192.168.1.10",441770702443812,10781005195288
43,43,"192.168.2.10",441770702457423,10781005240918
132,44,"192.168.1.10",441770702616589,10781005342474
132,44,"192.168.1.4",266870433554986,10781005344903
133,44,"192.168.1.10",441770702637904,10781005396105
133,44,"192.168.1.4",266870433577227,10781005398686
134,44,"192.168.1.10",441770702651552,10781005400868
134,44,"192.168.1.4",266870433591468,10781005403113
44,44,"192.168.2.10",441770702665145,10781005446639
135,45,"192.168.1.10",441770702825052,10781005550303
135,45,"192.168.1.4",266870433764857,10781005552765
136,45,"192.168.1.10",441770702846460,10781005604957
136,45,"192.168.1.4",266870433786949,10781005607359
137,45,"192.168.1.10",441770702860293,10781005609537
137,45,"192.168.1.4",266870433800671,10781005611925
45,45,"192.168.2.10",441770702873812,10781005655628
138,46,"192.168.1.4",266870433972042,10781005758963
138,46,"192.168.1.10",441770703034349,10781005761388
139,46,"192.168.1.4",266870433993523,10781005813595
139,46,"192.168.1.10",441770703055571,10781005816330
140,46,"192.168.1.4",266870434007468,10781005818569
140,46,"192.168.1.10",441770703069219,10781005820922
46,46,"192.168.2.10",441770703082867,10781005863388
141,47,"192.168.1.4",266870434180282,10781005966303
141,47,"192.168.1.10",441770703241441,10781005968799
142,47,"192.168.1.4",266870434201542,10781006020627
142,47,"192.168.1.10",441770703263349,10781006022963
143,47,"192.168.1.4",266870434215301,10781006025143
143,47,"192.168.1.10",441770703278182,10781006027447
47,47,"192.168.2.10",441770703291941,10781006071503
144,48,"192.168.1.4",266870434388431,10781006174778
144,48,"192.168.1.10",441770703450108,10781006177217
145,48,"192.168.1.4",266870434409727,10781006234498
145,48,"192.168.1.10",441770703471182,10781006239815
146,48,"192.168.1.4",266870434423634,10781006244600
146,48,"192.168.1.10",441770703484849,10781006251435
48,48,"192.168.2.10",441770703498460,10781006279619
147,49,"192.168.1.4",266870434596894,10781006384644
147,49,"192.168.1.10",441770703658145,10781006387130
148,49,"192.168.1.4",266870434618634,10781006437991
