Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
172,24,"192.168.1.10",431478277547650,488602426870
198,24,"192.168.1.4",256577952462565,488602429370
173,24,"192.168.1.10",431478277561020,488602431532
199,24,"192.168.1.4",256577952476306,488602433680
174,24,"192.168.1.10",431478277574280,488602478140
200,25,"192.168.1.4",256577952580565,488602480587
201,25,"192.168.1.4",256577952602454,488602482935
175,25,"192.168.1.10",431478277692446,488602531337
202,25,"192.168.1.4",256577952617177,488602533781
176,25,"192.168.1.10",431478277713576,488602536174
203,25,"192.168.1.4",256577952631140,488602538523
177,25,"192.168.1.10",431478277727243,488602583935
204,25,"192.168.1.4",256577952644880,488602586288
178,25,"192.168.1.10",431478277740724,488602588510
205,25,"192.168.1.4",256577952658602,488602590849
179,25,"192.168.1.10",431478277754076,488602637279
206,25,"192.168.1.4",256577952672417,488602639696
180,25,"192.168.1.10",431478277767946,488602641993
207,25,"192.168.1.4",256577952686214,488602644984
181,25,"192.168.1.10",431478277781243,488602688308
208,26,"192.168.1.4",256577952787751,488602690721
209,26,"192.168.1.4",256577952809917,488602695319
182,26,"192.168.1.10",431478277900909,488602742127
210,26,"192.168.1.4",256577952824102,488602744529
183,26,"192.168.1.10",431478277922039,488602746719
211,26,"192.168.1.4",256577952837843,488602749084
184,26,"192.168.1.10",431478277935706,488602794643
212,26,"192.168.1.4",256577952851584,488602797081
185,26,"192.168.1.10",431478277949094,488602799283
213,26,"192.168.1.4",256577952865288,488602801853
186,26,"192.168.1.10",431478277962280,488602847859
214,26,"192.168.1.4",256577952879084,488602850315
187,26,"192.168.1.10",431478277976261,488602852497
215,26,"192.168.1.4",256577952892917,488602854946
188,26,"192.168.1.10",431478277989576,488602900428
216,27,"192.168.1.4",256577952995732,488602902857
217,27,"192.168.1.4",256577953017491,488602904993
189,27,"192.168.1.10",431478278109465,488602952869
218,27,"192.168.1.4",256577953032214,488602955645
190,27,"192.168.1.10",431478278130946,488602957842
219,27,"192.168.1.4",256577953045991,488602960154
191,27,"192.168.1.10",431478278144669,488603005404
220,27,"192.168.1.4",256577953059751,488603007948
192,27,"192.168.1.10",431478278158076,488603010143
221,27,"192.168.1.4",256577953073436,488603012444
193,27,"192.168.1.10",431478278171206,488603058193
222,27,"192.168.1.4",256577953087269,488603060630
194,27,"192.168.1.10",431478278184539,488603062857
223,27,"192.168.1.4",256577953100843,488603065122
195,27,"192.168.1.10",431478278198520,488603110951
224,28,"192.168.1.4",256577953204288,488603113368
225,28,"192.168.1.4",256577953225695,488603115519
196,28,"192.168.1.10",431478278317372,488603163345
226,28,"192.168.1.4",256577953239936,488603165872
197,28,"192.168.1.10",431478278338409,488603168068
227,28,"192.168.1.4",256577953253862,488603170372
198,28,"192.168.1.10",431478278351835,488603215960
228,28,"192.168.1.4",256577953267584,488603218461
199,28,"192.168.1.10",431478278365335,488603220808
229,28,"192.168.1.4",256577953281195,488603222996
200,28,"192.168.1.10",431478278378761,488603274041
230,28,"192.168.1.4",256577953295102,488603276580
201,28,"192.168.1.10",431478278392094,488603278721
231,28,"192.168.1.4",256577953308769,488603280929
202,28,"192.168.1.10",431478278405428,488603283179
232,29,"192.168.1.4",256577953412065,488603321124
233,29,"192.168.1.4",256577953434288,488603323655
203,29,"192.168.1.10",431478278526706,488603374062
234,29,"192.168.1.4",256577953449028,488603376471
204,29,"192.168.1.10",431478278548150,488603380860
235,29,"192.168.1.4",256577953462788,488603383201
205,29,"192.168.1.10",431478278561854,488603426756
236,29,"192.168.1.4",256577953476510,488603429301
206,29,"192.168.1.10",431478278575206,488603431483
237,29,"192.168.1.4",256577953490195,488603433883
207,29,"192.168.1.10",431478278588409,488603479419
238,29,"192.168.1.4",256577953504084,488603481794
208,29,"192.168.1.10",431478278601909,488603484132
239,29,"192.168.1.4",256577953517936,488603486364
209,29,"192.168.1.10",431478278616002,488603531166
240,30,"192.168.1.4",256577953621843,488603533594
241,30,"192.168.1.4",256577953643584,488603535911
210,30,"192.168.1.10",431478278733724,488603587518
242,30,"192.168.1.4",256577953657954,488603589926
211,30,"192.168.1.10",431478278755094,488603591998
243,30,"192.168.1.4",256577953671714,488603594278
212,30,"192.168.1.10",431478278768594,488603596399
244,30,"192.168.1.4",256577953685547,488603598584
213,30,"192.168.1.10",431478278782020,488603637095
245,30,"192.168.1.4",256577953699288,488603639904
214,30,"192.168.1.10",431478278795206,488603642108
246,30,"192.168.1.4",256577953713158,488603690462
215,30,"192.168.1.10",431478278808483,488603693018
247,30,"192.168.1.4",256577953726825,488603695255
216,30,"192.168.1.10",431478278821798,488603699489
248,31,"192.168.1.4",256577953829251,488603748010
249,31,"192.168.1.4",256577953850954,488603753974
217,31,"192.168.1.10",431478278942261,488603756824
250,31,"192.168.1.4",256577953865862,488603763739
218,31,"192.168.1.10",431478278963817,488603795406
251,31,"192.168.1.4",256577953879880,488603798194
219,31,"192.168.1.10",431478278977391,488603800366
252,31,"192.168.1.4",256577953893621,488603802714
220,31,"192.168.1.10",431478278991020,488603847738
253,31,"192.168.1.4",256577953907584,488603850125
221,31,"192.168.1.10",431478279004502,488603852553
254,31,"192.168.1.4",256577953921714,488603854903
222,31,"192.168.1.10",431478279017743,488603899395
255,31,"192.168.1.4",256577953935417,488603901839
223,31,"192.168.1.10",431478279031002,488603904115
256,32,"192.168.1.4",256577954037102,488603953094
257,32,"192.168.1.4",256577954059288,488603955468
224,32,"192.168.1.10",431478279150483,488603957551
258,32,"192.168.1.4",256577954073084,488603960034
225,32,"192.168.1.10",431478279171946,488604009002
259,32,"192.168.1.4",256577954086843,488604011324
226,32,"192.168.1.10",431478279185502,488604013485
260,32,"192.168.1.4",256577954100695,488604015943
227,32,"192.168.1.10",431478279198854,488604058700
261,32,"192.168.1.4",256577954114417,488604061219
228,32,"192.168.1.10",431478279212113,488604063323
262,32,"192.168.1.4",256577954128288,488604065774
229,32,"192.168.1.10",431478279225446,488604110723
263,32,"192.168.1.4",256577954141954,488604113171
230,32,"192.168.1.10",431478279238724,488604115459
264,33,"192.168.1.4",256577954245658,488604163915
265,33,"192.168.1.4",256577954267306,488604166253
231,33,"192.168.1.10",431478279358613,488604168524
266,33,"192.168.1.4",256577954281862,488604170763
232,33,"192.168.1.10",431478279380243,488604217402
267,33,"192.168.1.4",256577954295806,488604219872
233,33,"192.168.1.10",431478279393872,488604222142
268,33,"192.168.1.4",256577954309473,488604224406
234,33,"192.168.1.10",431478279407150,488604273477
269,33,"192.168.1.4",256577954323288,488604279373
235,33,"192.168.1.10",431478279420428,488604284889
270,33,"192.168.1.4",256577954337065,488604288452
236,33,"192.168.1.10",431478279433761,488604321769
271,33,"192.168.1.4",256577954350788,488604324335
237,33,"192.168.1.10",431478279446928,488604326613
272,34,"192.168.1.4",256577954453862,488604374674
273,34,"192.168.1.4",256577954475528,488604377127
238,34,"192.168.1.10",431478279568261,488604381456
274,34,"192.168.1.4",256577954489436,488604383833
239,34,"192.168.1.10",431478279589780,488604427990
275,34,"192.168.1.4",256577954503380,488604430595
240,34,"192.168.1.10",431478279603335,488604432754
276,34,"192.168.1.4",256577954517195,488604435029
241,34,"192.168.1.10",431478279617909,488604479745
277,34,"192.168.1.4",256577954530973,488604482308
242,34,"192.168.1.10",431478279631298,488604484571
278,34,"192.168.1.4",256577954544714,488604486752
243,34,"192.168.1.10",431478279644520,488604531739
