Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
188,23,"192.168.1.4",266210601506157,10121178351619
189,23,"192.168.1.10",441110874152075,10121178353668
189,23,"192.168.1.4",266210601520009,10121178355984
190,23,"192.168.1.10",441110874165279,10121178402592
190,23,"192.168.1.4",266210601533824,10121178404928
191,23,"192.168.1.10",441110874178501,10121178407025
191,23,"192.168.1.4",266210601547657,10121178409470
192,24,"192.168.1.10",441110874284334,10121178462739
192,24,"192.168.1.4",266210601650620,10121178465617
193,24,"192.168.1.10",441110874305557,10121178468992
193,24,"192.168.1.4",266210601672342,10121178473547
194,24,"192.168.1.10",441110874318927,10121178475779
194,24,"192.168.1.4",266210601687028,10121178478150
195,24,"192.168.1.10",441110874332094,10121178504358
195,24,"192.168.1.4",266210601700935,10121178509259
196,24,"192.168.1.10",441110874345242,10121178560590
196,24,"192.168.1.4",266210601714676,10121178563095
197,24,"192.168.1.10",441110874359297,10121178565306
197,24,"192.168.1.4",266210601728361,10121178567613
198,24,"192.168.1.10",441110874372464,10121178613089
198,24,"192.168.1.4",266210601741972,10121178615294
199,24,"192.168.1.10",441110874385649,10121178617413
199,24,"192.168.1.4",266210601755824,10121178619794
200,25,"192.168.1.10",441110874493242,10121178665342
200,25,"192.168.1.4",266210601858972,10121178667555
201,25,"192.168.1.10",441110874514409,10121178669654
201,25,"192.168.1.4",266210601880417,10121178671959
202,25,"192.168.1.10",441110874527964,10121178718146
202,25,"192.168.1.4",266210601894454,10121178720694
203,25,"192.168.1.10",441110874541316,10121178722832
203,25,"192.168.1.4",266210601908139,10121178725151
204,25,"192.168.1.10",441110874554409,10121178770681
204,25,"192.168.1.4",266210601921787,10121178772938
205,25,"192.168.1.10",441110874567686,10121178775174
205,25,"192.168.1.4",266210601935491,10121178777310
206,25,"192.168.1.10",441110874581612,10121178823663
206,25,"192.168.1.4",266210601949398,10121178826247
207,25,"192.168.1.10",441110874594853,10121178828222
207,25,"192.168.1.4",266210601963268,10121178832779
208,26,"192.168.1.10",441110874701131,10121178877445
208,26,"192.168.1.4",266210602068565,10121178880210
209,26,"192.168.1.10",441110874722390,10121178882351
209,26,"192.168.1.4",266210602090268,10121178884571
210,26,"192.168.1.10",441110874735909,10121178886810
210,26,"192.168.1.4",266210602105028,10121178927368
211,26,"192.168.1.10",441110874749297,10121178929677
211,26,"192.168.1.4",266210602118917,10121178931799
212,26,"192.168.1.10",441110874762686,10121178986571
212,26,"192.168.1.4",266210602132657,10121178989065
213,26,"192.168.1.10",441110874776723,10121178991205
213,26,"192.168.1.4",266210602146546,10121178993398
214,26,"192.168.1.10",441110874790205,10121178995537
214,26,"192.168.1.4",266210602160305,10121178997854
215,26,"192.168.1.10",441110874803983,10121179033088
215,26,"192.168.1.4",266210602174065,10121179035536
216,27,"192.168.1.10",441110874909353,10121179037697
216,27,"192.168.1.4",266210602275620,10121179086447
217,27,"192.168.1.10",441110874930501,10121179088973
217,27,"192.168.1.4",266210602297268,10121179091157
218,27,"192.168.1.10",441110874943983,10121179093277
218,27,"192.168.1.4",266210602311342,10121179140607
219,27,"192.168.1.10",441110874957372,10121179142968
219,27,"192.168.1.4",266210602325046,10121179147404
220,27,"192.168.1.10",441110874970686,10121179149511
220,27,"192.168.1.4",266210602338842,10121179151914
221,27,"192.168.1.10",441110874984168,10121179191130
221,27,"192.168.1.4",266210602352602,10121179193763
222,27,"192.168.1.10",441110874997316,10121179196148
222,27,"192.168.1.4",266210602366213,10121179246054
223,27,"192.168.1.10",441110875010520,10121179248363
223,27,"192.168.1.4",266210602379824,10121179250489
224,28,"192.168.1.10",441110875117797,10121179252519
224,28,"192.168.1.4",266210602483898,10121179254816
225,28,"192.168.1.10",441110875139242,10121179295898
225,28,"192.168.1.4",266210602505342,10121179298451
226,28,"192.168.1.10",441110875152668,10121179300554
226,28,"192.168.1.4",266210602519768,10121179349540
227,28,"192.168.1.10",441110875166131,10121179351797
227,28,"192.168.1.4",266210602533583,10121179354018
228,28,"192.168.1.10",441110875179427,10121179356262
228,28,"192.168.1.4",266210602547472,10121179403483
229,28,"192.168.1.10",441110875192668,10121179406073
229,28,"192.168.1.4",266210602561213,10121179408182
230,28,"192.168.1.10",441110875205927,10121179410352
230,28,"192.168.1.4",266210602574972,10121179412615
231,28,"192.168.1.10",441110875219131,10121179455406
231,28,"192.168.1.4",266210602588787,10121179464271
232,29,"192.168.1.10",441110875325501,10121179471298
232,29,"192.168.1.4",266210602692361,10121179476858
233,29,"192.168.1.10",441110875347483,10121179507808
