Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
86,10,"192.168.1.10",440718507045142,9728812059091
85,10,"192.168.1.4",265818232287928,9728812061613
87,10,"192.168.1.10",440718507058217,9728812063838
86,10,"192.168.1.4",265818232311484,9728812065995
87,10,"192.168.1.4",265818232334891,9728812110853
88,11,"192.168.1.4",265818232358706,9728812113460
89,11,"192.168.1.4",265818232382076,9728812115606
90,11,"192.168.1.4",265818232405650,9728812117776
88,11,"192.168.1.10",440718507167198,9728812170859
89,11,"192.168.1.10",440718507188531,9728812174532
91,11,"192.168.1.4",265818232429280,9728812178577
90,11,"192.168.1.10",440718507201883,9728812184493
91,11,"192.168.1.10",440718507214994,9728812216681
92,11,"192.168.1.4",265818232453076,9728812219102
92,11,"192.168.1.10",440718507228179,9728812221199
93,11,"192.168.1.4",265818232476706,9728812223296
93,11,"192.168.1.10",440718507241291,9728812268914
94,11,"192.168.1.10",440718507254328,9728812271541
94,11,"192.168.1.4",265818232500632,9728812273666
95,11,"192.168.1.10",440718507267402,9728812275956
95,11,"192.168.1.4",265818232524280,9728812321213
96,12,"192.168.1.4",265818232548095,9728812323620
97,12,"192.168.1.4",265818232571502,9728812325882
98,12,"192.168.1.4",265818232594836,9728812327978
99,12,"192.168.1.4",265818232618558,9728812374193
96,12,"192.168.1.10",440718507376754,9728812376807
97,12,"192.168.1.10",440718507398142,9728812378939
100,12,"192.168.1.4",265818232642058,9728812381166
98,12,"192.168.1.10",440718507411291,9728812426808
99,12,"192.168.1.10",440718507424494,9728812429298
101,12,"192.168.1.4",265818232665687,9728812431517
100,12,"192.168.1.10",440718507438476,9728812433853
101,12,"192.168.1.10",440718507451735,9728812478953
102,12,"192.168.1.4",265818232689262,9728812481496
102,12,"192.168.1.10",440718507464772,9728812483548
103,12,"192.168.1.4",265818232713150,9728812485727
103,12,"192.168.1.10",440718507477902,9728812531622
104,13,"192.168.1.10",440718507583531,9728812534223
104,13,"192.168.1.4",265818232827317,9728812536453
105,13,"192.168.1.10",440718507604661,9728812538706
106,13,"192.168.1.10",440718507618087,9728812584587
105,13,"192.168.1.4",265818232858706,9728812587393
107,13,"192.168.1.10",440718507631902,9728812589583
108,13,"192.168.1.10",440718507644957,9728812591710
106,13,"192.168.1.4",265818232883521,9728812637408
109,13,"192.168.1.10",440718507658013,9728812639766
107,13,"192.168.1.4",265818232907299,9728812641949
110,13,"192.168.1.10",440718507671068,9728812644300
111,13,"192.168.1.10",440718507684068,9728812694633
108,13,"192.168.1.4",265818232930762,9728812702372
109,13,"192.168.1.4",265818232954336,9728812706554
110,13,"192.168.1.4",265818232978039,9728812709110
111,13,"192.168.1.4",265818233001891,9728812742512
112,14,"192.168.1.4",265818233025539,9728812745117
112,14,"192.168.1.10",440718507791883,9728812747250
113,14,"192.168.1.4",265818233049299,9728812749481
113,14,"192.168.1.10",440718507813383,9728812794889
114,14,"192.168.1.10",440718507827105,9728812797336
114,14,"192.168.1.4",265818233072965,9728812799596
115,14,"192.168.1.10",440718507840309,9728812801775
116,14,"192.168.1.10",440718507854087,9728812847845
115,14,"192.168.1.4",265818233096836,9728812850465
117,14,"192.168.1.10",440718507867402,9728812852587
118,14,"192.168.1.10",440718507880439,9728812854887
116,14,"192.168.1.4",265818233120558,9728812900267
119,14,"192.168.1.10",440718507893439,9728812902750
117,14,"192.168.1.4",265818233144169,9728812904931
118,14,"192.168.1.4",265818233167854,9728812907118
119,14,"192.168.1.4",265818233191558,9728812953136
120,15,"192.168.1.4",265818233215169,9728812955691
121,15,"192.168.1.4",265818233239002,9728812957893
122,15,"192.168.1.4",265818233262613,9728812960065
120,15,"192.168.1.10",440718508032531,9728813005596
123,15,"192.168.1.4",265818233286410,9728813010128
121,15,"192.168.1.10",440718508055420,9728813012324
122,15,"192.168.1.10",440718508069013,9728813014652
124,15,"192.168.1.4",265818233309891,9728813059161
123,15,"192.168.1.10",440718508082179,9728813061578
124,15,"192.168.1.10",440718508095439,9728813063705
125,15,"192.168.1.4",265818233333724,9728813065925
125,15,"192.168.1.10",440718508109772,9728813110728
126,15,"192.168.1.4",265818233357373,9728813113409
126,15,"192.168.1.10",440718508123031,9728813115538
127,15,"192.168.1.10",440718508136124,9728813117767
127,15,"192.168.1.4",265818233381113,9728813163125
128,16,"192.168.1.10",440718508149420,9728813165592
129,16,"192.168.1.10",440718508162494,9728813167839
128,16,"192.168.1.4",265818233405187,9728813169969
130,16,"192.168.1.10",440718508175568,9728813224247
